,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
366946,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:38
366947,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:38
366948,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:38
366949,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:38
366954,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:40
366955,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:40
366956,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:40
366957,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:40
366958,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:40
366959,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:40
366964,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:43
366965,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:43
366966,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:43
366967,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:43
366968,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:43
366969,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:43
366974,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:46
366975,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:46
366976,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:46
366977,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:46
366978,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:46
366979,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:46
366984,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:48
366985,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:48
366986,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:48
366987,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:49
366988,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:49
366989,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:49
366994,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:51
366995,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:51
366996,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:51
366997,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:51
366998,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:51
366999,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:51
367004,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:54
367005,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:54
367006,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:54
367007,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:54
367008,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:54
367009,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:54
367014,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:56
367015,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:56
367016,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:57
367017,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:57
367018,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:57
367019,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:57
367024,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:59
367025,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:59
367026,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:59
367027,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:59
367028,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:59
367029,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:00
367034,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:02
367035,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:02
367036,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:02
367037,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:02
367038,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:02
367039,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:02
367044,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:05
367045,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:05
367046,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:05
367047,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:05
367048,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:05
367049,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:05
367054,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:07
367055,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:07
367056,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:07
367057,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:07
367058,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:08
367059,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:08
367064,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:10
367065,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:10
367066,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:10
367067,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:10
367068,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:10
367069,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:10
367074,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:13
367075,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:13
367076,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:13
367077,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:13
367078,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:13
367079,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:13
367084,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:15
367085,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:16
367086,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:16
367087,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:16
367088,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:16
367089,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:16
367094,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:18
367095,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:18
367096,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:18
367097,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:18
367098,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:18
367099,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:19
367104,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:21
367105,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:21
